uniprot_id	protein_name	gene_names	protein_full_name
Q9BTV4	TMM43	TMEM43 UNQ2564/PRO6244	Transmembrane protein 43 (Protein LUMA)
Q13253	NOGG	NOG	Noggin
Q9P0X4	CAC1I	CACNA1I KIAA1120	Voltage-dependent T-type calcium channel subunit alpha-1I (Voltage-gated calcium channel subunit alpha Cav3.3) (Ca(v)3.3)
Q9BPW0	Q9BPW0	PPP5C	Serine/threonine-protein phosphatase (EC 3.1.3.16)
Q8TB45	DPTOR	DEPTOR DEPDC6	DEP domain-containing mTOR-interacting protein (hDEPTOR) (DEP domain-containing protein 6)
Q9UGU0	TCF20	TCF20 KIAA0292 SPBP	Transcription factor 20 (TCF-20) (Nuclear factor SPBP) (Protein AR1) (Stromelysin-1 PDGF-responsive element-binding protein) (SPRE-binding protein)
Q7Z5J4	RAI1	RAI1 KIAA1820	Retinoic acid-induced protein 1
Q7Z7K2	ZN467	ZNF467	Zinc finger protein 467
Q96AA3	RFT1	RFT1	Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1 (Protein RFT1 homolog)
Q9P209	CEP72	CEP72 KIAA1519	Centrosomal protein of 72 kDa (Cep72)
Q9P2I0	CPSF2	CPSF2 CPSF100 KIAA1367	Cleavage and polyadenylation specificity factor subunit 2 (Cleavage and polyadenylation specificity factor 100 kDa subunit) (CPSF 100 kDa subunit)
Q9UPW0	FOXJ3	FOXJ3 KIAA1041	Forkhead box protein J3
O43379	WDR62	WDR62 C19orf14	WD repeat-containing protein 62
O00244	ATOX1	ATOX1 HAH1	Copper transport protein ATOX1 (Metal transport protein ATX1)
Q8NB91	FANCB	FANCB	Fanconi anemia group B protein (Protein FACB) (Fanconi anemia-associated polypeptide of 95 kDa) (FAAP95)
O94844	RHBT1	RHOBTB1 KIAA0740	Rho-related BTB domain-containing protein 1
Q96DR8	MUCL1	MUCL1 SBEM UNQ590/PRO1160	Mucin-like protein 1 (Protein BS106) (Small breast epithelial mucin)
Q3SYC2	MOGT2	MOGAT2 DC5 DGAT2L5	2-acylglycerol O-acyltransferase 2 (EC 2.3.1.20) (EC 2.3.1.22) (Acyl-CoA:monoacylglycerol acyltransferase 2) (MGAT2) (hMGAT2) (Diacylglycerol O-acyltransferase candidate 5) (hDC5) (Diacylglycerol acyltransferase 2-like protein 5) (Monoacylglycerol O-acyltransferase 2)
Q9BWM7	SFXN3	SFXN3	Sideroflexin-3
Q9NP73	ALG13	ALG13 CXorf45 GLT28D1 MDS031	UDP-N-acetylglucosamine transferase subunit ALG13 (EC 2.4.1.141) (Asparagine-linked glycosylation 13 homolog) (Glycosyltransferase 28 domain-containing protein 1)
P36575	ARRC	ARR3 ARRX CAR	Arrestin-C (Cone arrestin) (C-arrestin) (cArr) (Retinal cone arrestin-3) (X-arrestin)
P09525	ANXA4	ANXA4 ANX4	Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)
P04062	GBA1	GBA1 GBA GC GLUC	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)
P15090	FABP4	FABP4	Fatty acid-binding protein, adipocyte (Adipocyte lipid-binding protein) (ALBP) (Adipocyte-type fatty acid-binding protein) (A-FABP) (AFABP) (Fatty acid-binding protein 4)
Q96C11	FGGY	FGGY	FGGY carbohydrate kinase domain-containing protein (D-ribulokinase FGGY) (EC 2.7.1.47)
O00187	MASP2	MASP2	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]
P80297	MT1X	MT1X	Metallothionein-1X (MT-1X) (Metallothionein-IX) (MT-IX)
P10916	MLRV	MYL2 MLC2	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform (MLC-2) (MLC-2v) (Cardiac myosin light chain 2) (Myosin light chain 2, slow skeletal/ventricular muscle isoform) (MLC-2s/v) (Ventricular myosin light chain 2)
Q96DR5	BPIA2	BPIFA2 C20orf70 SPLUNC2 UNQ510/PRO1025	BPI fold-containing family A member 2 (Parotid secretory protein) (PSP) (Short palate, lung and nasal epithelium carcinoma-associated protein 2)
P21817	RYR1	RYR1 RYDR	Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor)
P80303	NUCB2	NUCB2 NEFA	Nucleobindin-2 (DNA-binding protein NEFA) (Epididymis secretory protein Li 109) (Gastric cancer antigen Zg4) (Prepronesfatin) [Cleaved into: Nesfatin-1]
P07305	H10	H1-0 H1F0 H1FV	Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]
P51157	RAB28	RAB28	Ras-related protein Rab-28 (EC 3.6.5.2)
Q3YEC7	RABL6	RABL6 C9orf86 PARF	Rab-like protein 6 (GTP-binding protein Parf) (Partner of ARF) (Rab-like protein 1) (RBEL1)
P49773	HINT1	HINT1 HINT PKCI1 PRKCNH1	Adenosine 5'-monophosphoramidase HINT1 (EC 3.9.1.-) (Desumoylating isopeptidase HINT1) (EC 3.4.22.-) (Histidine triad nucleotide-binding protein 1) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1)
Q9P2D3	HTR5B	HEATR5B KIAA1414 p200 p200a	HEAT repeat-containing protein 5B
P00491	PNPH	PNP NP	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)
Q9UJA3	MCM8	MCM8 C20orf154	DNA helicase MCM8 (EC 3.6.4.12) (Minichromosome maintenance 8)
Q8IUC0	KR131	KRTAP13-1 KAP13.1 KRTAP13.1	Keratin-associated protein 13-1 (High sulfur keratin-associated protein 13.1)
Q4G0I0	UQCC4	UQCC4 C16orf91 CCSMST1	Ubiquinol-cytochrome c reductase complex assembly factor 4 (Protein CCSMST1)
Q6ZVE7	GOT1A	GOLT1A GOT1B	Vesicle transport protein GOT1A (Golgi transport 1 homolog A) (hGOT1b)
Q5T655	CFA58	CFAP58 C10orf80 CCDC147	Cilia- and flagella-associated protein 58 (Coiled-coil domain-containing protein 147)
P78324	SHPS1	SIRPA BIT MFR MYD1 PTPNS1 SHPS1 SIRP	Tyrosine-protein phosphatase non-receptor type substrate 1 (SHP substrate 1) (SHPS-1) (Brain Ig-like molecule with tyrosine-based activation motifs) (Bit) (CD172 antigen-like family member A) (Inhibitory receptor SHPS-1) (Macrophage fusion receptor) (MyD-1 antigen) (Signal-regulatory protein alpha-1) (Sirp-alpha-1) (Signal-regulatory protein alpha-2) (Sirp-alpha-2) (Signal-regulatory protein alpha-3) (Sirp-alpha-3) (p84) (CD antigen CD172a)
Q96EG1	ARSG	ARSG KIAA1001 UNQ839/PRO1777	Arylsulfatase G (ASG) (EC 3.1.6.1) (N-sulfoglucosamine-3-sulfatase) (EC 3.1.6.15)
P30837	AL1B1	ALDH1B1 ALDH5 ALDHX	Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)
Q9BUE6	ISCA1	ISCA1 HBLD2 GK004	Iron-sulfur cluster assembly 1 homolog, mitochondrial (HESB-like domain-containing protein 2) (Iron-sulfur assembly protein IscA) (hIscA)
P07333	CSF1R	CSF1R FMS	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)
Q9GZU0	CF062	C6orf62 XTP12 Nbla00237	Uncharacterized protein C6orf62 (HBV X-transactivated gene 12 protein) (HBV XAg-transactivated protein 12)
Q7Z4W1	DCXR	DCXR SDR20C1	L-xylulose reductase (XR) (EC 1.1.1.10) (Carbonyl reductase II) (Dicarbonyl/L-xylulose reductase) (Kidney dicarbonyl reductase) (kiDCR) (Short chain dehydrogenase/reductase family 20C member 1) (Sperm surface protein P34H)
Q86TG7	PEG10	PEG10 EDR KIAA1051e MAR2 MART2 MEF3L1 RGAG3	Retrotransposon-derived protein PEG10 (Embryonal carcinoma differentiation-regulated protein) (Mammalian retrotransposon-derived protein 2) (Myelin expression factor 3-like protein 1) (MEF3-like protein 1) (Paternally expressed gene 10 protein) (Retrotransposon gag domain-containing protein 3) (Retrotransposon-derived gag-like polyprotein) (Ty3/Gypsy-like protein)
Q9NPE3	NOP10	NOP10 NOLA3	H/ACA ribonucleoprotein complex subunit 3 (Nucleolar protein 10) (Nucleolar protein family A member 3) (snoRNP protein NOP10)
Q6P0Q8	MAST2	MAST2 KIAA0807 MAST205	Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1)
O95848	NUD14	NUDT14 UGPP	Uridine diphosphate glucose pyrophosphatase NUDT14 (UDPG pyrophosphatase) (UGPPase) (EC 3.6.1.45) (Nucleoside diphosphate-linked moiety X motif 14) (Nudix motif 14)
O75828	CBR3	CBR3 SDR21C2	Carbonyl reductase [NADPH] 3 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase 3) (Quinone reductase CBR3) (EC 1.6.5.10) (Short chain dehydrogenase/reductase family 21C member 2)
Q7L2K0	TEDC2	TEDC2 C16orf59	Tubulin epsilon and delta complex protein 2
P47992	XCL1	XCL1 LTN SCYC1	Lymphotactin (ATAC) (C motif chemokine 1) (Cytokine SCM-1) (Lymphotaxin) (SCM-1-alpha) (Small-inducible cytokine C1) (XC chemokine ligand 1)
P30042	GAL3A	GATD3 C21orf33 GATD3A	Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial
P25942	TNR5	CD40 TNFRSF5	Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40)
O75426	FBX24	FBXO24 FBX24	F-box only protein 24
Q7L1W4	LRC8D	LRRC8D LRRC5 UNQ213/PRO239	Volume-regulated anion channel subunit LRRC8D (Leucine-rich repeat-containing protein 5) (Leucine-rich repeat-containing protein 8D) (HsLRRC8D)
Q5FBB7	SGO1	SGO1 SGOL1	Shugoshin 1 (Serologically defined breast cancer antigen NY-BR-85) (Shugoshin-like 1)
Q6PCB8	EMB	EMB	Embigin
O75145	LIPA3	PPFIA3 KIAA0654	Liprin-alpha-3 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-3) (PTPRF-interacting protein alpha-3)
Q9HCK4	ROBO2	ROBO2 KIAA1568	Roundabout homolog 2
B4DDN1	B4DDN1	QARS1 QARS hCG_96727	glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase)
Q9BZI7	REN3B	UPF3B RENT3B UPF3X	Regulator of nonsense transcripts 3B (Nonsense mRNA reducing factor 3B) (Up-frameshift suppressor 3 homolog B) (hUpf3B) (Up-frameshift suppressor 3 homolog on chromosome X) (hUpf3p-X)
Q9Y4R8	TELO2	TELO2 KIAA0683	Telomere length regulation protein TEL2 homolog (Protein clk-2 homolog) (hCLK2)
Q9BX26	SYCP2	SYCP2 SCP2	Synaptonemal complex protein 2 (SCP-2) (Synaptonemal complex lateral element protein) (hsSCP2)
Q9Y2S7	PDIP2	POLDIP2 PDIP38 POLD4 HSPC017	Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38)
P19419	ELK1	ELK1	ETS domain-containing protein Elk-1
Q9H706	GARE1	GAREM1 C18orf11 FAM59A GAREM	GRB2-associated and regulator of MAPK protein 1 (GRB2-associated and regulator of MAPK1)
Q14416	GRM2	GRM2 GPRC1B MGLUR2	Metabotropic glutamate receptor 2 (mGluR2)
Q8NFY9	KBTB8	KBTBD8 KIAA1842 TAKRP	Kelch repeat and BTB domain-containing protein 8 (T-cell activation kelch repeat protein) (TA-KRP)
Q96D15	RCN3	RCN3 UNQ239/PRO272	Reticulocalbin-3 (EF-hand calcium-binding protein RLP49)
P52747	ZN143	ZNF143 SBF STAF	Zinc finger protein 143 (SPH-binding factor) (Selenocysteine tRNA gene transcription-activating factor) (hStaf)
Q9BW27	NUP85	NUP85 NUP75 PCNT1	Nuclear pore complex protein Nup85 (85 kDa nucleoporin) (FROUNT) (Nucleoporin Nup75) (Nucleoporin Nup85) (Pericentrin-1)
Q9BVQ7	AFG2B	AFG2B SPATA5L1	ATPase family gene 2 protein homolog B (EC 3.6.4.10) (AFG2 AAA ATPase homolog B) (Ribosome biogenesis protein SPATA5L1) (Spermatogenesis-associated protein 5-like protein 1)
Q14592	ZN460	ZNF460 ZNF272	Zinc finger protein 460 (Zinc finger protein 272) (Zinc finger protein HZF8)
P52952	NKX25	NKX2-5 CSX NKX2.5 NKX2E	Homeobox protein Nkx-2.5 (Cardiac-specific homeobox) (Homeobox protein CSX) (Homeobox protein NK-2 homolog E)
Q8WWB7	GLMP	GLMP C1orf85 PSEC0030 UNQ2553/PRO6182	Glycosylated lysosomal membrane protein (Lysosomal protein NCU-G1)
Q14213	IL27B	EBI3 IL27B	Interleukin-27 subunit beta (IL-27 subunit beta) (IL-27B) (Epstein-Barr virus-induced gene 3 protein) (EBV-induced gene 3 protein)
Q5VWQ8	DAB2P	DAB2IP AF9Q34 AIP1 KIAA1743	Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein)
P13942	COBA2	COL11A2	Collagen alpha-2(XI) chain
Q9H7P9	PKHG2	PLEKHG2	Pleckstrin homology domain-containing family G member 2 (PH domain-containing family G member 2)
P0C7P0	CISD3	CISD3	CDGSH iron-sulfur domain-containing protein 3, mitochondrial (MitoNEET-related protein 2) (Miner2) (Mitochondrial inner NEET protein) (MiNT)
Q8IWZ8	SUGP1	SUGP1 SF4	SURP and G-patch domain-containing protein 1 (RNA-binding protein RBP) (Splicing factor 4)
P10620	MGST1	MGST1 GST12 MGST	Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I)
Q9Y4I1	MYO5A	MYO5A MYH12	Unconventional myosin-Va (Dilute myosin heavy chain, non-muscle) (Myosin heavy chain 12) (Myosin-12) (Myoxin)
P19237	TNNI1	TNNI1	Troponin I, slow skeletal muscle (Troponin I, slow-twitch isoform)
Q9NX00	TM160	TMEM160	Transmembrane protein 160
P51686	CCR9	CCR9 GPR28	C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (G-protein coupled receptor 28) (GPR-9-6) (CD antigen CDw199)
Q96LL4	CH048	C8orf48	Uncharacterized protein C8orf48
P55199	ELL	ELL C19orf17	RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein)
Q96GS6	AB17A	ABHD17A C19orf27 FAM108A1	Alpha/beta hydrolase domain-containing protein 17A (Abhydrolase domain-containing protein 17A) (EC 3.1.2.22)
Q9UBX3	DIC	SLC25A10 DIC	Mitochondrial dicarboxylate carrier (DIC) (Solute carrier family 25 member 10)
Q8N7X4	MAGB6	MAGEB6	Melanoma-associated antigen B6 (Cancer/testis antigen 3.4) (CT3.4) (MAGE-B6 antigen)
O60732	MAGC1	MAGEC1	Melanoma-associated antigen C1 (Cancer/testis antigen 7.1) (CT7.1) (MAGE-C1 antigen)
Q96BW9	TAM41	TAMM41 C3orf31	Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial translocator assembly and maintenance protein 41 homolog) (TAM41)
Q8TBZ5	ZN502	ZNF502	Zinc finger protein 502
Q8NBI2	CYAC3	CYB561A3 CYBASC3 PSEC0259	Lysosomal membrane ascorbate-dependent ferrireductase CYB561A3 (EC 7.2.1.3) (Cytochrome b ascorbate-dependent protein 3) (Cytochrome b561 family member A3) (Lysosomal cytochrome b) (LCytb)
P29373	RABP2	CRABP2	Cellular retinoic acid-binding protein 2 (Cellular retinoic acid-binding protein II) (CRABP-II)
O43761	SNG3	SYNGR3	Synaptogyrin-3
Q9P0L2	MARK1	MARK1 KIAA1477 MARK	Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)
Q70EL2	UBP45	USP45	Ubiquitin carboxyl-terminal hydrolase 45 (EC 3.4.19.12) (Deubiquitinating enzyme 45) (Ubiquitin thioesterase 45) (Ubiquitin-specific-processing protease 45)
Q9P0L9	PK2L1	PKD2L1 PKD2L PKDL TRPP3	Polycystin-2-like protein 1 (Polycystin-2L1) (Polycystic kidney disease 2-like 1 protein) (Polycystin-2 homolog) (Polycystin-L) (Polycystin-L1)
Q9UJV8	PURG	PURG	Purine-rich element-binding protein gamma (Purine-rich element-binding protein G)
Q9NVI7	ATD3A	ATAD3A	ATPase family AAA domain-containing protein 3A (EC 3.6.1.-)
P08138	TNR16	NGFR TNFRSF16	Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (Low-affinity nerve growth factor receptor p75NGFR) (Low-affinity nerve growth factor receptor p75NGR) (p75 ICD) (CD antigen CD271)
Q9BSE4	HERP2	HERPUD2	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein
Q969F8	KISSR	KISS1R AXOR12 GPR54	KiSS-1 receptor (KiSS-1R) (G-protein coupled receptor 54) (G-protein coupled receptor OT7T175) (hOT7T175) (Hypogonadotropin-1) (Kisspeptins receptor) (Metastin receptor)
Q68DK7	MSL1	MSL1 MSL1L1	Male-specific lethal 1 homolog (MSL-1) (Male-specific lethal 1-like 1) (MSL1-like 1) (Male-specific lethal-1 homolog 1)
P08708	RS17	RPS17 RPS17L	Small ribosomal subunit protein eS17 (40S ribosomal protein S17)
Q7Z7H3	CATIP	CATIP C2orf62	Ciliogenesis-associated TTC17-interacting protein
Q9NWZ8	GEMI8	GEMIN8 FAM51A1	Gem-associated protein 8 (Gemin-8) (Protein FAM51A1)
Q6W5P4	NPSR1	NPSR1 GPR154 GPRA PGR14	Neuropeptide S receptor (G-protein coupled receptor 154) (G-protein coupled receptor PGR14) (G-protein coupled receptor for asthma susceptibility)
Q8IVP5	FUND1	FUNDC1	FUN14 domain-containing protein 1
P00748	FA12	F12	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)]
P38935	SMBP2	IGHMBP2 SMBP2 SMUBP2	DNA-binding protein SMUBP-2 (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent helicase IGHMBP2) (Glial factor 1) (GF-1) (Immunoglobulin mu-binding protein 2)
P48060	GLIP1	GLIPR1 GLIPR RTVP1	Glioma pathogenesis-related protein 1 (GliPR 1) (Protein RTVP-1)
Q8WW12	PCNP	PCNP	PEST proteolytic signal-containing nuclear protein (PCNP) (PEST-containing nuclear protein)
Q9H2J4	PDCL3	PDCL3 PhLP2A VIAF1	Phosducin-like protein 3 (HTPHLP) (PhPL3) (Viral IAP-associated factor 1) (VIAF-1)
P62760	VISL1	VSNL1 VISL1	Visinin-like protein 1 (VILIP) (VLP-1) (Hippocalcin-like protein 3) (HLP3)
Q8NC01	CLC1A	CLEC1A CLEC1 UNQ569/PRO1131	C-type lectin domain family 1 member A (C-type lectin-like receptor 1) (CLEC-1)
Q969M1	TM40L	TOMM40L TOMM40B	Mitochondrial import receptor subunit TOM40B (Protein TOMM40-like)
Q9Y3I0	RTCB	RTCB C22orf28 HSPC117	RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)
Q8NEW0	ZNT7	SLC30A7 ZNT7 ZNTL2	Zinc transporter 7 (ZnT-7) (Solute carrier family 30 member 7) (Znt-like transporter 2)
Q7L1Q6	5MP2	BZW1 5MP2 BZAP45 KIAA0005	eIF5-mimic protein 2 (Basic leucine zipper and W2 domain-containing protein 1) (Protein Orf)
Q6RFH5	WDR74	WDR74 NSA1	WD repeat-containing protein 74 (NOP seven-associated protein 1)
Q96LX8	ZN597	ZNF597	Zinc finger protein 597
Q9UPU3	SORC3	SORCS3 KIAA1059	VPS10 domain-containing receptor SorCS3
Q969V3	NCLN	NCLN	BOS complex subunit NCLN (Nicalin) (Nicastrin-like protein)
Q13568	IRF5	IRF5	Interferon regulatory factor 5 (IRF-5)
Q92622	RUBIC	RUBCN KIAA0226	Run domain Beclin-1-interacting and cysteine-rich domain-containing protein (Rubicon) (Beclin-1 associated RUN domain containing protein) (Baron)
P78381	S35A2	SLC35A2 UGALT UGT UGTL	UDP-galactose translocator (Solute carrier family 35 member A2) (UDP-galactose transporter) (UDP-Gal-Tr) (UGT)
P00325	ADH1B	ADH1B ADH2	All-trans-retinol dehydrogenase [NAD(+)] ADH1B (EC 1.1.1.105) (Alcohol dehydrogenase 1B) (Alcohol dehydrogenase subunit beta)
P61165	TM258	TMEM258 C11orf10 HSPC005	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258 (Oligosaccharyl transferase subunit TMEM258) (Transmembrane protein 258)
Q9Y2L5	TPPC8	TRAPPC8 KIAA1012	Trafficking protein particle complex subunit 8 (Protein TRS85 homolog)
Q495W5	OFUT4	FUT11 POFUT4	GDP-fucose protein O-fucosyltransferase 4 (EC 2.4.1.221) (Alpha-(1,3)-fucosyltransferase 11) (EC 2.4.1.-) (Fucosyltransferase XI) (Fuc-TXI) (FucT-XI) (Galactoside 3-L-fucosyltransferase 11) (Fucosyltransferase 11)
P05141	ADT2	SLC25A5 AAC2 ANT2	ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]
Q9H0U4	RAB1B	RAB1B	Ras-related protein Rab-1B (EC 3.6.5.2)
Q08357	S20A2	SLC20A2 GLVR2 PIT2	Sodium-dependent phosphate transporter 2 (Gibbon ape leukemia virus receptor 2) (GLVR-2) (Phosphate transporter 2) (PiT-2) (Pit2) (hPit2) (Solute carrier family 20 member 2)
Q8TEU7	RPGF6	RAPGEF6 PDZGEF2	Rap guanine nucleotide exchange factor 6 (PDZ domain-containing guanine nucleotide exchange factor 2) (PDZ-GEF2) (RA-GEF-2)
Q9HCK1	ZDBF2	ZDBF2 KIAA1571	DBF4-type zinc finger-containing protein 2
P08574	CY1	CYC1	Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)
O75319	DUS11	DUSP11 PIR1	RNA/RNP complex-1-interacting phosphatase (EC 3.1.3.-) (Dual specificity protein phosphatase 11) (Phosphatase that interacts with RNA/RNP complex 1)
P08700	IL3	IL3	Interleukin-3 (IL-3) (Hematopoietic growth factor) (Mast cell growth factor) (MCGF) (Multipotential colony-stimulating factor) (P-cell-stimulating factor)
Q15390	MTFR1	MTFR1 CHPPR FAM54A2 KIAA0009	Mitochondrial fission regulator 1 (Chondrocyte protein with a poly-proline region)
P42702	LIFR	LIFR	Leukemia inhibitory factor receptor (LIF receptor) (LIF-R) (CD antigen CD118)
Q13562	NDF1	NEUROD1 BHLHA3 NEUROD	Neurogenic differentiation factor 1 (NeuroD) (NeuroD1) (Class A basic helix-loop-helix protein 3) (bHLHa3)
Q8TEJ3	SH3R3	SH3RF3 POSH2 SH3MD4	E3 ubiquitin-protein ligase SH3RF3 (EC 2.3.2.27) (Plenty of SH3s 2) (SH3 domain-containing RING finger protein 3) (SH3 multiple domains protein 4)
Q2PPJ7	RGPA2	RALGAPA2 C20orf74 KIAA1272	Ral GTPase-activating protein subunit alpha-2 (250 kDa substrate of Akt) (AS250) (p220)
Q8IV36	HID1	HID1 C17orf28 DMC1	Protein HID1 (Down-regulated in multiple cancers 1) (HID1 domain-containing protein) (Protein hid-1 homolog)
P01374	TNFB	LTA TNFB TNFSF1	Lymphotoxin-alpha (LT-alpha) (TNF-beta) (Tumor necrosis factor ligand superfamily member 1)
Q8IYM2	SLN12	SLFN12	Ribonuclease SLFN12 (EC 3.1.-.-) (Schlafen family member 12)
P13984	T2FB	GTF2F2 RAP30	General transcription factor IIF subunit 2 (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30)
Q8IYB8	SUV3	SUPV3L1 SUV3	ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)
O75072	FKTN	FKTN FCMD	Ribitol-5-phosphate transferase FKTN (EC 2.7.8.-) (Fukutin) (Fukuyama-type congenital muscular dystrophy protein) (Ribitol-5-phosphate transferase)
Q05469	LIPS	LIPE	Hormone-sensitive lipase (HSL) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (EC 3.1.1.23) (Retinyl ester hydrolase) (REH)
P48029	SC6A8	SLC6A8	Sodium- and chloride-dependent creatine transporter 1 (CT1) (Creatine transporter 1) (Solute carrier family 6 member 8)
Q9H3U1	UN45A	UNC45A SMAP1	Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1)
Q9UNZ2	NSF1C	NSFL1C UBXN2C	NSFL1 cofactor p47 (UBX domain-containing protein 2C) (p97 cofactor p47)
Q9HAW8	UD110	UGT1A10 GNT1 UGT1	UDP-glucuronosyltransferase 1A10 (UGT1A10) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-10) (UDPGT 1-10) (UGT1*10) (UGT1-10) (UGT1.10) (UDP-glucuronosyltransferase 1-J) (UGT-1J) (UGT1J)
P29466	CASP1	CASP1 IL1BC IL1BCE	Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]
Q969W9	PMEPA	PMEPA1 STAG1 TMEPAI	Protein TMEPAI (Prostate transmembrane protein androgen induced 1) (Solid tumor-associated 1 protein) (Transmembrane prostate androgen-induced protein)
P83876	TXN4A	TXNL4A DIM1 TXNL4	Thioredoxin-like protein 4A (DIM1 protein homolog) (Spliceosomal U5 snRNP-specific 15 kDa protein) (Thioredoxin-like U5 snRNP protein U5-15kD)
Q8N3P4	VPS8	VPS8 KIAA0804	Vacuolar protein sorting-associated protein 8 homolog
Q0VGL1	LTOR4	LAMTOR4 C7orf59	Ragulator complex protein LAMTOR4 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 4) [Cleaved into: Ragulator complex protein LAMTOR4, N-terminally processed]
